SMILES,MW,ClogP,ClogS,TPSA,HBA,HBD,Rotatable Bonds
C[C@@H](C[N@H+](Cc1ncc(C(C)(C)C)s1)C1)[C@H]1N1CCOCC1,324.5140000000002,1.1760000000000008,90.55870000000006,29.8,4,1,3
CC(C)(C)SCCNC(N(CCC1)[C@@H]2[C@H]1C[N@@H+](C)CC2)=O,314.5190000000001,1.2267000000000012,90.06540000000005,36.78,2,2,3
CC(C)[N@@H+](Cc1cn(C)nc1)Cc1c(C)sc(C(OC)=O)c1,322.45400000000006,1.5701199999999997,87.11020000000005,48.56,5,1,6
C[C@H]1O[C@@H](C)C[N@H+](C[C@@H](CCC2)N2C(c2c(C)ccs2)=O)C1,323.482,1.3532200000000003,88.68720000000005,33.980000000000004,3,1,3
C[C@H]1O[C@H](C)C[NH+](C[C@@H](CCC2)N2C(c2c(C)ccs2)=O)C1,323.482,1.3532200000000003,88.68720000000005,33.980000000000004,3,1,3
CC(C)c1cc(N2C[C@H](C)[N@@H+](C[C@@H](C)O)CC2)nc(C(C)C)n1,321.48900000000003,1.1976000000000002,94.26250000000006,53.69,4,2,5
CC[C@H](CCCC1)[N@@H+]1[C@@H](CC(N1c(cc2)ccc2OC)=O)C1=O,317.4090000000001,1.1744999999999994,87.65170000000006,51.050000000000004,3,1,4
CC(C)(C)OC(N(CCC1)C[C@H]1[NH2+]Cc1csc(C)n1)=O,312.45900000000006,1.91442,83.30940000000005,59.04,4,1,3
CC(C)=CCC[N@H+](C[C@@H]1CC2)C[C@@H]2N(Cc2cscn2)C1=O,320.482,1.5050999999999994,88.78770000000004,37.64,3,1,5
C[C@H](CC[N@H+](Cc1ccc(C(OC)=O)s1)C1)[C@H]1n1cncc1,320.438,1.3971999999999993,85.10420000000005,48.56,5,1,4
C[C@@H](CC[N@H+](Cc1ccc(C(OC)=O)s1)C1)[C@H]1n1cncc1,320.438,1.3971999999999993,85.10420000000005,48.56,5,1,4
CC(C)(C)SCCNC(N(CCC1)[C@H]2[C@H]1C[N@@H+](C)CC2)=O,314.5190000000001,1.2267000000000012,90.06540000000005,36.78,2,2,3
C[N@H+]1CC2(CCCCC2)N(Cc2csc(COC)n2)CC1,310.4870000000001,1.3226999999999998,85.67370000000005,29.8,4,1,4
CC(C)[N@@H+]1C[C@H](CNC(/C=C\c2csc(C)n2)=O)CCC1,308.4710000000002,1.28422,87.45140000000005,46.43,3,2,5
CC(C)[N@@H+]1C[C@@H](CNC(/C=C\c2csc(C)n2)=O)CCC1,308.4710000000002,1.28422,87.45140000000005,46.43,3,2,5
C[C@@H](C[N@H+](C)CC1)[C@H]1N(C)C(N[C@@H](CCCC1)[C@@H]1SC)=O,314.519,1.2251000000000012,90.04340000000006,36.78,2,2,3
C[C@H](C[N@H+](C)CC1)[C@@H]1N(C)C(N[C@@H](CCCC1)[C@@H]1SC)=O,314.519,1.2251000000000012,90.04340000000006,36.78,2,2,3
C[C@H](C[N@H+](C)CC1)[C@H]1N(C)C(N[C@@H](CCCC1)[C@@H]1SC)=O,314.519,1.2251000000000012,90.04340000000006,36.78,2,2,3
C[C@@H](CC(c1cccs1)=O)NC([C@@H]1C[C@H](C)[N@H+](C)CC1)=O,309.4550000000001,1.1388,84.81090000000005,50.61,3,2,5
CC1(C)[N@H+](C)CC[C@@H]1CN(C)C(c1ccc(COC)s1)=O,311.471,1.2797000000000007,85.93220000000007,33.980000000000004,3,1,5
Cc1ccc(CN(CCOC)C([C@H]2[N@H+](C)CCCC2)=O)s1,311.47100000000006,1.0987200000000001,85.74170000000005,33.980000000000004,3,1,6
CC1(C)[N@H+](C)CC[C@H]1CN(C)C(c1ccc(COC)s1)=O,311.471,1.2797000000000007,85.93220000000007,33.980000000000004,3,1,5
Cc1ccc(CN(CCOC)C([C@@H]2[N@H+](C)CCCC2)=O)s1,311.47100000000006,1.0987200000000001,85.74170000000005,33.980000000000004,3,1,6
C[C@H](C[N@H+]1C[C@@H](C)C[C@@H](C)C1)NC(N1CCSCCC1)=O,314.5190000000001,1.084200000000001,90.01740000000007,36.78,2,2,3
CC[C@@H](CCCC1)[N@@H+]1[C@@H](CC(N1c(cc2)ccc2OC)=O)C1=O,317.4090000000001,1.1744999999999994,87.65170000000006,51.050000000000004,3,1,4
Cc1c(C[N@@H+](C)C[C@H](CC2)CN2C(C2CC=CC2)=O)scn1,320.48199999999997,1.2809199999999998,88.85970000000005,37.64,3,1,5
CCOC(C(C)(C)c1csc([C@@H]2OC[C@@H](CCC3)[N@H+]3C2)n1)=O,325.454,1.1023999999999998,84.18470000000005,52.86000000000001,5,1,4
CCOC(C(C)(C)c1csc([C@@H]2OC[C@H](CCC3)[N@H+]3C2)n1)=O,325.454,1.1023999999999998,84.18470000000005,52.86000000000001,5,1,4
CCOC(C(C)(C)c1csc([C@H]2OC[C@H](CCC3)[N@H+]3C2)n1)=O,325.454,1.1023999999999998,84.18470000000005,52.86000000000001,5,1,4
